parking_lots_id,owner_id,name,address,latitude,longitude,price_per_hour,total_slots,vehicle_type,timing_start,timing_end,status,created_at
P101,O102,Rohini Parking A,"Rohini, Delhi",28.746245,77.058964,20.85,66,car,06:00,23:00,approved,2025-03-01T00:00:00
P102,O102,Saket Parking B,"Saket, Delhi",28.521139,77.203302,34.67,51,all,06:00,23:00,approved,2025-05-12T00:00:00
P103,O103,Lajpat Nagar Parking C,"Lajpat Nagar, Delhi",28.569873,77.240638,32.44,43,ev,06:00,23:00,pending,2025-06-01T00:00:00
P104,O105,Nehru Place Parking D,"Nehru Place, Delhi",28.549175,77.254786,24,56,ev,06:00,23:00,approved,2025-02-21T00:00:00
P105,O107,Pitampura Parking E,"Pitampura, Delhi",28.69917,77.133056,46.73,65,ev,06:00,23:00,approved,2025-05-11T00:00:00
P106,O108,Janakpuri Parking A,"Janakpuri, Delhi",28.620621,77.085919,21.29,47,bike,06:00,23:00,approved,2025-04-27T00:00:00
P107,O110,Greater Kailash Parking B,"Greater Kailash, Delhi",28.55398,77.240237,40.44,57,bike,06:00,23:00,approved,2025-04-12T00:00:00
P108,O105,Lajpat Nagar Parking C,"Lajpat Nagar, Delhi",28.56636,77.243951,40.16,51,all,06:00,23:00,approved,2025-04-25T00:00:00
P109,O103,Pitampura Parking D,"Pitampura, Delhi",28.702073,77.130505,24.66,37,all,06:00,23:00,approved,2025-04-07T00:00:00
P110,O102,Pitampura Parking E,"Pitampura, Delhi",28.698135,77.126797,17.62,17,ev,06:00,23:00,approved,2025-03-08T00:00:00
P111,O112,Dwarka Parking A,"Dwarka, Delhi",28.594089,77.04657,40.07,43,car,06:00,23:00,approved,2025-05-11T00:00:00
P112,O113,Hauz Khas Parking B,"Hauz Khas, Delhi",28.550034,77.202602,51.63,41,ev,06:00,23:00,approved,2025-04-02T00:00:00
P113,O108,Dwarka Parking C,"Dwarka, Delhi",28.589452,77.044548,47.51,21,all,06:00,23:00,approved,2025-02-14T00:00:00
P114,O113,Dwarka Parking D,"Dwarka, Delhi",28.594048,77.044122,21.85,73,all,06:00,23:00,approved,2025-04-17T00:00:00
P115,O115,Pitampura Parking E,"Pitampura, Delhi",28.700686,77.134562,28.57,25,all,06:00,23:00,approved,2025-03-30T00:00:00
P116,O116,Rohini Parking A,"Rohini, Delhi",28.749181,77.049751,20.31,77,bike,06:00,23:00,approved,2025-02-14T00:00:00
P117,O102,Greater Kailash Parking B,"Greater Kailash, Delhi",28.544011,77.245299,26.96,47,all,06:00,23:00,approved,2025-05-16T00:00:00
P118,O110,Rohini Parking C,"Rohini, Delhi",28.754697,77.055075,35.22,31,all,06:00,23:00,approved,2025-05-19T00:00:00
P119,O117,Janakpuri Parking D,"Janakpuri, Delhi",28.621078,77.084,35.51,44,all,06:00,23:00,rejected,2025-06-16T00:00:00
P120,O118,Dwarka Parking E,"Dwarka, Delhi",28.585191,77.047738,22.95,67,bike,06:00,23:00,approved,2025-04-28T00:00:00
P121,O119,Lajpat Nagar Parking A,"Lajpat Nagar, Delhi",28.561916,77.243589,34.44,47,car,06:00,23:00,approved,2025-05-19T00:00:00
P122,O112,Saket Parking B,"Saket, Delhi",28.524587,77.213007,18.8,21,bike,06:00,23:00,approved,2025-05-09T00:00:00
P123,O105,Pitampura Parking C,"Pitampura, Delhi",28.699617,77.13278,29.84,26,all,06:00,23:00,approved,2025-04-16T00:00:00
P124,O120,Saket Parking D,"Saket, Delhi",28.525927,77.212453,22.68,26,all,06:00,23:00,pending,2025-04-30T00:00:00
P125,O115,Janakpuri Parking E,"Janakpuri, Delhi",28.618194,77.086241,41.59,44,all,06:00,23:00,approved,2025-03-25T00:00:00
P126,O119,Rohini Parking A,"Rohini, Delhi",28.748611,77.050617,50.22,42,all,06:00,23:00,approved,2025-04-14T00:00:00
P127,O121,Pitampura Parking B,"Pitampura, Delhi",28.702253,77.139887,57.2,58,car,06:00,23:00,pending,2025-04-15T00:00:00
P128,O110,Rohini Parking C,"Rohini, Delhi",28.745542,77.047972,29.92,67,ev,06:00,23:00,approved,2025-03-13T00:00:00
P129,O122,Rohini Parking D,"Rohini, Delhi",28.747839,77.054052,52.18,33,all,06:00,23:00,pending,2025-02-04T00:00:00
