payments_id,booking_id,amount,method,status,paid_at
PAY101,B101,41.1,netbanking,success,2025-11-20T22:58:00
PAY102,B102,55.1,netbanking,success,2026-01-25T10:44:00
PAY103,B103,257.4,netbanking,success,2025-11-30T13:46:00
PAY104,B104,55.17,netbanking,success,2025-11-09T12:58:00
PAY105,B105,231.52,card,success,2025-10-27T19:33:00
PAY106,B106,9.76,netbanking,success,2025-10-29T11:02:00
PAY107,B107,81.54,upi,success,2026-01-20T18:40:00
PAY108,B108,11.58,wallet,success,2025-12-28T19:44:00
PAY109,B109,14.42,upi,success,2025-10-13T19:37:00
PAY110,B110,58.01,upi,success,2025-11-01T02:40:00
PAY111,B111,70.29,wallet,success,2025-12-13T08:40:00
PAY112,B112,70.88,netbanking,success,2026-01-02T09:51:00
PAY113,B113,54.64,wallet,success,2025-10-14T20:16:00
PAY114,B114,127.23,card,success,2025-12-21T18:20:00
PAY115,B115,52.02,card,success,2025-12-16T12:17:00
PAY116,B116,68.14,netbanking,success,2025-10-23T17:59:00
PAY117,B117,55.24,card,success,2025-11-29T13:54:00
PAY118,B118,12.13,netbanking,success,2025-10-10T08:04:00
PAY119,B120,24.93,netbanking,success,2026-01-24T14:45:00
PAY120,B121,133.56,upi,success,2025-11-16T09:14:00
PAY121,B122,69.02,wallet,success,2026-01-27T16:44:00
PAY122,B123,41.9,card,success,2026-01-11T09:14:00
PAY123,B124,68.94,wallet,success,2025-10-01T15:16:00
PAY124,B125,182.16,wallet,success,2025-12-16T13:26:00
PAY125,B126,80.43,netbanking,success,2025-10-31T20:48:00
PAY126,B127,55.04,upi,success,2025-10-21T06:33:00
PAY127,B129,26.4,card,success,2025-12-28T04:06:00
PAY128,B130,23.55,wallet,success,2026-01-27T14:27:00
PAY129,B131,10.33,wallet,success,2026-01-11T11:06:00
PAY130,B132,60.09,wallet,success,2025-11-23T09:12:00
PAY131,B133,131.34,card,success,2025-10-19T07:00:00
PAY132,B135,73.16,wallet,success,2025-12-06T19:46:00
PAY133,B136,58.22,netbanking,success,2025-12-11T13:14:00
PAY134,B137,11.02,upi,success,2025-12-29T20:19:00
PAY135,B138,19.36,upi,success,2026-01-12T07:42:00
PAY136,B139,47.87,netbanking,success,2025-10-03T00:55:00
PAY137,B140,28.89,wallet,success,2025-10-19T16:06:00
PAY138,B141,30.25,netbanking,success,2025-10-28T19:35:00
PAY139,B142,88.77,card,success,2025-12-03T07:37:00
PAY140,B143,63.05,card,success,2025-11-04T20:15:00
PAY141,B145,28.32,wallet,success,2025-12-05T16:47:00
PAY142,B146,14.06,card,success,2025-12-16T06:19:00
PAY143,B147,47.68,wallet,success,2025-11-16T07:01:00
PAY144,B148,194.16,netbanking,success,2025-11-06T09:44:00
PAY145,B149,44.4,wallet,success,2025-10-29T07:07:00
PAY146,B150,19.27,wallet,success,2026-01-04T23:30:00
PAY147,B151,29.49,wallet,success,2025-12-06T16:59:00
PAY148,B152,46.86,card,success,2025-10-11T14:52:00
PAY149,B153,30.33,card,success,2025-12-26T16:03:00
PAY150,B154,95.96,wallet,success,2026-01-26T01:50:00
PAY151,B155,139.44,card,success,2026-01-10T08:52:00
PAY152,B156,42.86,card,success,2025-12-03T17:23:00
PAY153,B157,51.69,card,success,2025-11-02T22:45:00
PAY154,B158,71.62,netbanking,success,2026-01-22T19:00:00
PAY155,B159,37.23,netbanking,success,2026-01-21T20:05:00
PAY156,B160,18.24,upi,success,2025-11-26T21:08:00
PAY157,B161,41.48,wallet,success,2026-01-19T20:51:00
PAY158,B162,40.09,upi,success,2026-01-14T20:44:00
PAY159,B163,163.8,netbanking,success,2025-10-11T18:44:00
PAY160,B164,76.23,card,success,2025-11-23T20:06:00
PAY161,B165,82.4,wallet,success,2025-11-30T08:05:00
PAY162,B166,50.86,upi,success,2025-10-26T11:58:00
PAY163,B167,78.22,netbanking,success,2025-12-15T09:23:00
PAY164,B168,171.64,netbanking,success,2025-11-16T16:24:00
PAY165,B169,55.16,wallet,success,2025-10-09T11:11:00
PAY166,B170,32.23,upi,success,2025-11-09T17:09:00
PAY167,B171,111.21,netbanking,success,2025-12-27T06:14:00
PAY168,B172,24.43,netbanking,success,2025-11-11T08:16:00
PAY169,B173,29.16,card,success,2025-10-07T08:28:00
PAY170,B174,66.59,wallet,success,2025-10-11T17:57:00
PAY171,B175,111.48,card,success,2025-10-29T09:15:00
PAY172,B176,187.68,wallet,success,2026-01-01T22:54:00
PAY173,B177,25.98,upi,success,2025-12-10T07:04:00
PAY174,B178,105.58,netbanking,success,2025-11-21T19:05:00
PAY175,B179,54.05,card,success,2025-12-02T08:09:00
PAY176,B180,35.44,card,success,2025-11-14T18:35:00
PAY177,B181,163.29,upi,success,2026-01-09T18:24:00
