id,lot_id,slot_number,vehicle_type,status
S101,P101,A01,car,reserved
S102,P101,A02,car,occupied
S103,P101,A03,car,available
S104,P101,A04,car,available
S105,P101,A05,car,occupied
S106,P101,A06,car,occupied
S107,P101,A07,car,available
S108,P101,A09,car,reserved
S109,P101,A11,car,reserved
S110,P101,A12,car,available
S111,P101,A13,car,occupied
S112,P101,A14,car,available
S113,P101,A15,car,reserved
S114,P101,A16,car,available
S115,P101,A18,car,available
S116,P101,A19,car,reserved
S117,P101,A20,car,available
S118,P101,B01,car,occupied
S119,P101,B02,car,occupied
S120,P101,B03,car,reserved
S121,P101,B04,car,available
S122,P101,B05,car,available
S123,P101,B07,car,reserved
S124,P101,B08,car,available
S125,P101,B09,car,occupied
S126,P101,B13,car,available
S127,P101,B15,car,available
S128,P101,B16,car,available
S129,P101,B17,car,available
S130,P101,B18,car,available
S131,P101,B19,car,available
S132,P101,B20,car,available
S133,P101,C01,car,reserved
S134,P101,C02,car,available
S135,P101,C03,car,occupied
S136,P101,C04,car,available
S137,P101,C05,car,available
S138,P101,C06,car,available
S139,P101,C08,car,occupied
S140,P101,C11,car,available
S141,P101,C12,car,reserved
S142,P101,C13,car,available
S143,P101,C14,car,reserved
S144,P101,C15,car,available
S145,P101,C16,car,occupied
S146,P101,C17,car,reserved
S147,P101,C19,car,available
S148,P101,C20,car,available
S149,P101,D01,car,available
S150,P101,D02,car,available
S151,P101,D04,car,occupied
S152,P101,D05,car,available
S153,P101,D06,car,available
S154,P102,A02,ev,available
S155,P102,A03,car,available
S156,P102,A04,car,occupied
S157,P102,A05,ev,reserved
S158,P102,A07,ev,available
S159,P102,A08,car,available
S160,P102,A09,bike,available
S161,P102,A11,ev,available
S162,P102,A13,car,available
S163,P102,A14,ev,available
S164,P102,A16,ev,available
S165,P102,A17,car,available
S166,P102,A18,ev,occupied
S167,P102,B01,ev,reserved
S168,P102,B02,ev,available
S169,P102,B03,bike,reserved
S170,P102,B04,bike,reserved
S171,P102,B05,ev,available
S172,P102,B07,car,occupied
S173,P102,B09,car,available
S174,P102,B10,car,occupied
S175,P102,B11,bike,available
S176,P102,B12,car,available
S177,P102,B13,ev,available
S178,P102,B14,ev,available
S179,P102,B15,car,available
S180,P102,B16,ev,available
S181,P102,B17,car,available
S182,P102,B18,car,reserved
S183,P102,B19,car,available
S184,P102,C01,ev,occupied
S185,P102,C02,car,occupied
S186,P102,C03,car,occupied
S187,P102,C04,car,occupied
S188,P102,C05,car,reserved
S189,P102,C06,bike,available
S190,P102,C07,car,available
S191,P102,C08,ev,reserved
S192,P102,C09,car,available
S193,P102,C10,bike,reserved
S194,P102,C11,ev,available
S195,P104,A01,ev,occupied
S196,P104,A03,ev,reserved
S197,P104,A04,ev,reserved
S198,P104,A05,ev,available
S199,P104,A06,ev,reserved
S200,P104,A07,ev,available
S201,P104,A08,ev,available
S202,P104,A09,ev,reserved
S203,P104,A10,ev,available
S204,P104,A11,ev,available
S205,P104,A13,ev,available
S206,P104,A14,ev,available
S207,P104,A15,ev,reserved
S208,P104,A17,ev,available
S209,P104,A18,ev,available
S210,P104,A20,ev,occupied
S211,P104,B01,ev,available
S212,P104,B02,ev,available
S213,P104,B04,ev,available
S214,P104,B05,ev,available
S215,P104,B06,ev,available
S216,P104,B07,ev,reserved
S217,P104,B08,ev,reserved
S218,P104,B10,ev,available
S219,P104,B11,ev,available
S220,P104,B12,ev,occupied
S221,P104,B13,ev,occupied
S222,P104,B14,ev,available
S223,P104,B15,ev,available
S224,P104,B16,ev,occupied
S225,P104,B18,ev,occupied
S226,P104,B19,ev,available
S227,P104,B20,ev,reserved
S228,P104,C01,ev,available
S229,P104,C02,ev,occupied
S230,P104,C03,ev,reserved
S231,P104,C06,ev,available
S232,P104,C07,ev,occupied
S233,P104,C08,ev,available
S234,P104,C09,ev,available
S235,P104,C10,ev,available
S236,P104,C12,ev,available
S237,P104,C13,ev,available
S238,P104,C14,ev,occupied
S239,P104,C16,ev,available
S240,P105,A01,ev,available
S241,P105,A02,ev,available
S242,P105,A03,ev,available
S243,P105,A05,ev,available
S244,P105,A06,ev,available
S245,P105,A08,ev,available
S246,P105,A09,ev,occupied
S247,P105,A11,ev,reserved
S248,P105,A13,ev,available
S249,P105,A14,ev,available
S250,P105,A17,ev,available
S251,P105,A18,ev,available
S252,P105,A19,ev,available
S253,P105,A20,ev,available
S254,P105,B02,ev,available
S255,P105,B03,ev,occupied
S256,P105,B04,ev,reserved
S257,P105,B06,ev,reserved
S258,P105,B07,ev,available
S259,P105,B08,ev,occupied
S260,P105,B09,ev,available
S261,P105,B10,ev,reserved
S262,P105,B11,ev,available
S263,P105,B12,ev,reserved
S264,P105,B13,ev,available
S265,P105,B14,ev,available
S266,P105,B15,ev,occupied
S267,P105,B16,ev,available
S268,P105,B17,ev,reserved
S269,P105,B18,ev,available
S270,P105,B19,ev,reserved
S271,P105,B20,ev,available
S272,P105,C01,ev,available
S273,P105,C03,ev,reserved
S274,P105,C04,ev,available
S275,P105,C06,ev,available
S276,P105,C07,ev,available
S277,P105,C08,ev,occupied
S278,P105,C09,ev,occupied
S279,P105,C10,ev,available
S280,P105,C11,ev,available
S281,P105,C13,ev,occupied
S282,P105,C16,ev,available
S283,P105,C17,ev,occupied
S284,P105,C18,ev,available
S285,P105,C19,ev,occupied
S286,P105,C20,ev,reserved
S287,P105,D01,ev,available
S288,P105,D02,ev,available
S289,P105,D03,ev,occupied
S290,P105,D04,ev,reserved
S291,P105,D05,ev,available
S292,P106,A01,bike,reserved
S293,P106,A02,bike,reserved
S294,P106,A03,bike,available
S295,P106,A04,bike,available
S296,P106,A05,bike,available
S297,P106,A06,bike,available
S298,P106,A07,bike,available
S299,P106,A08,bike,available
S300,P106,A09,bike,available
S301,P106,A11,bike,occupied
S302,P106,A13,bike,reserved
S303,P106,A14,bike,available
S304,P106,A15,bike,available
S305,P106,A16,bike,occupied
S306,P106,A17,bike,occupied
S307,P106,A18,bike,occupied
S308,P106,A20,bike,occupied
S309,P106,B02,bike,reserved
S310,P106,B03,bike,reserved
S311,P106,B06,bike,available
S312,P106,B07,bike,available
S313,P106,B08,bike,reserved
S314,P106,B10,bike,available
S315,P106,B11,bike,available
S316,P106,B12,bike,occupied
S317,P106,B13,bike,available
S318,P106,B15,bike,available
S319,P106,B16,bike,reserved
S320,P106,B17,bike,available
S321,P106,B18,bike,reserved
S322,P106,B19,bike,occupied
S323,P106,B20,bike,available
S324,P106,C01,bike,available
S325,P106,C02,bike,available
S326,P106,C03,bike,occupied
S327,P106,C04,bike,available
S328,P106,C05,bike,available
S329,P106,C07,bike,available
S330,P107,A01,bike,occupied
S331,P107,A02,bike,available
S332,P107,A03,bike,available
S333,P107,A04,bike,available
S334,P107,A06,bike,available
S335,P107,A07,bike,available
S336,P107,A08,bike,available
S337,P107,A10,bike,occupied
S338,P107,A11,bike,occupied
S339,P107,A13,bike,reserved
S340,P107,A14,bike,available
S341,P107,A17,bike,reserved
S342,P107,A19,bike,available
S343,P107,A20,bike,reserved
S344,P107,B01,bike,available
S345,P107,B02,bike,occupied
S346,P107,B03,bike,available
S347,P107,B04,bike,available
S348,P107,B05,bike,available
S349,P107,B06,bike,available
S350,P107,B08,bike,reserved
S351,P107,B09,bike,reserved
S352,P107,B10,bike,available
S353,P107,B11,bike,available
S354,P107,B12,bike,reserved
S355,P107,B13,bike,available
S356,P107,B14,bike,available
S357,P107,B15,bike,occupied
S358,P107,B16,bike,available
S359,P107,B17,bike,available
S360,P107,B18,bike,available
S361,P107,B19,bike,occupied
S362,P107,B20,bike,available
S363,P107,C02,bike,available
S364,P107,C03,bike,available
S365,P107,C04,bike,reserved
S366,P107,C05,bike,reserved
S367,P107,C06,bike,available
S368,P107,C07,bike,reserved
S369,P107,C08,bike,available
S370,P107,C09,bike,available
