bookings_id,user_id,slot_id,lot_id,start_time,end_time,day_of_week,is_weekend,is_festival,weather_condition,price_at_booking,status
B101,U101,S458,P107,2025-11-20T22:58:00,2025-11-20T23:58:00,Thursday,False,False,clear,41.1,completed
B102,U102,S1147,P123,2026-01-25T10:44:00,2026-01-25T11:44:00,Sunday,True,False,clear,55.1,completed
B103,U103,S974,P119,2025-11-30T13:46:00,2025-11-30T19:46:00,Sunday,True,False,rain,42.9,completed
B104,U104,S1289,P126,2025-11-09T12:58:00,2025-11-09T15:58:00,Sunday,True,False,cloudy,18.39,completed
B105,U105,S337,P104,2025-10-27T19:33:00,2025-10-27T23:33:00,Monday,False,False,clear,57.88,completed
B106,U106,S796,P115,2025-10-29T11:02:00,2025-10-29T11:32:00,Wednesday,False,False,clear,19.52,completed
B107,U107,S685,P113,2026-01-20T18:40:00,2026-01-20T21:40:00,Tuesday,False,False,clear,27.18,completed
B108,U108,S534,P109,2025-12-28T19:44:00,2025-12-28T20:14:00,Sunday,True,False,haze,23.16,completed
B109,U109,S237,P103,2025-10-13T19:37:00,2025-10-13T20:07:00,Monday,False,False,clear,28.84,completed
B110,U110,S255,P103,2025-11-01T02:40:00,2025-11-01T04:10:00,Saturday,True,True,cloudy,38.67,completed
B111,U102,S533,P109,2025-12-13T08:40:00,2025-12-13T11:40:00,Saturday,True,False,cloudy,23.43,completed
B112,U111,S1064,P121,2026-01-02T09:51:00,2026-01-02T11:51:00,Friday,False,False,clear,35.44,completed
B113,U112,S638,P112,2025-10-14T20:16:00,2025-10-14T21:16:00,Tuesday,False,False,clear,54.64,completed
B114,U113,S1217,P124,2025-12-21T18:20:00,2025-12-21T21:20:00,Sunday,True,False,clear,42.41,completed
B115,U114,S607,P111,2025-12-16T12:17:00,2025-12-16T13:17:00,Tuesday,False,False,fog,52.02,completed
B116,U115,S994,P119,2025-10-23T17:59:00,2025-10-23T19:59:00,Thursday,False,False,fog,34.07,completed
B117,U116,S1451,P130,2025-11-29T13:54:00,2025-11-29T14:54:00,Saturday,True,False,clear,55.24,completed
