id,lot_id,slot_number,vehicle_type,status
S101,P123,A01,car,available
S102,P139,A02,car,reserved
S103,P101,A03,car,reserved
S104,P128,A04,car,reserved
S105,P115,A05,car,available
S106,P122,A06,car,available
S107,P125,A07,car,reserved
S108,P114,A09,car,reserved
S109,P109,A11,car,occupied
S110,P110,A12,car,reserved
S111,P111,A13,car,available
S112,P136,A14,car,occupied
S113,P120,A15,car,reserved
S114,P107,A16,car,available
S115,P108,A18,car,occupied
S116,P109,A19,car,occupied
S117,P130,A20,car,occupied
S118,P116,B01,car,reserved
S119,P132,B02,car,available
S120,P132,B03,car,available
S121,P115,B04,car,available
S122,P118,B05,car,occupied
S123,P126,B07,car,occupied
S124,P112,B08,car,available
S125,P112,B09,car,available
S126,P120,B13,car,available
S127,P140,B15,car,available
S128,P114,B16,car,reserved
S129,P139,B17,car,reserved
S130,P115,B18,car,available
S131,P130,B19,car,reserved
S132,P128,B20,car,reserved
S133,P105,C01,car,available
S134,P120,C02,car,available
S135,P107,C03,car,occupied
S136,P120,C04,car,available
S137,P121,C05,car,available
S138,P104,C06,car,reserved
S139,P109,C08,car,available
S140,P101,C11,car,occupied
S141,P109,C12,car,occupied
S142,P109,C13,car,occupied
S143,P110,C14,car,reserved
S144,P122,C15,car,reserved
S145,P134,C16,car,available
S146,P102,C17,car,occupied
S147,P121,C19,car,available
S148,P132,C20,car,reserved
S149,P121,D01,car,reserved
S150,P140,D02,car,occupied
S151,P113,D04,car,occupied
S152,P108,D05,car,reserved
S153,P106,D06,car,occupied
S154,P120,A02,ev,available
S155,P104,A03,car,occupied
S156,P114,A04,car,occupied
S157,P135,A05,ev,reserved
S158,P133,A07,ev,reserved
S159,P101,A08,car,occupied
S160,P132,A09,bike,available
S161,P104,A11,ev,reserved
S162,P109,A13,car,reserved
S163,P101,A14,ev,available
S164,P115,A16,ev,available
S165,P126,A17,car,occupied
S166,P132,A18,ev,reserved
S167,P134,B01,ev,available
S168,P134,B02,ev,occupied
S169,P102,B03,bike,available
S170,P126,B04,bike,occupied
S171,P136,B05,ev,occupied
S172,P111,B07,car,reserved
S173,P115,B09,car,available
S174,P120,B10,car,reserved
S175,P125,B11,bike,reserved
S176,P133,B12,car,available
S177,P132,B13,ev,reserved
S178,P104,B14,ev,available
S179,P105,B15,car,available
S180,P104,B16,ev,available
S181,P109,B17,car,reserved
S182,P116,B18,car,reserved
S183,P139,B19,car,available
S184,P115,C01,ev,available
S185,P135,C02,car,available
S186,P125,C03,car,available
S187,P136,C04,car,occupied
S188,P126,C05,car,available
S189,P122,C06,bike,reserved
S190,P107,C07,car,occupied
S191,P110,C08,ev,reserved
S192,P102,C09,car,available
S193,P139,C10,bike,reserved
S194,P113,C11,ev,reserved
S195,P121,A01,ev,available
S196,P130,A03,ev,occupied
S197,P130,A04,ev,occupied
S198,P105,A05,ev,available
S199,P106,A06,ev,available
S200,P121,A07,ev,available
S201,P107,A08,ev,reserved
S202,P110,A09,ev,occupied
S203,P117,A10,ev,available
S204,P125,A11,ev,available
S205,P123,A13,ev,occupied
S206,P113,A14,ev,available
S207,P116,A15,ev,occupied
S208,P104,A17,ev,occupied
S209,P113,A18,ev,occupied
S210,P118,A20,ev,occupied
S211,P117,B01,ev,occupied
S212,P132,B02,ev,occupied
S213,P118,B04,ev,occupied
S214,P134,B05,ev,available
S215,P121,B06,ev,reserved
S216,P128,B07,ev,available
S217,P136,B08,ev,occupied
S218,P101,B10,ev,occupied
S219,P126,B11,ev,occupied
S220,P110,B12,ev,available
S221,P130,B13,ev,reserved
S222,P115,B14,ev,reserved
S223,P110,B15,ev,occupied
S224,P123,B16,ev,available
S225,P113,B18,ev,reserved
S226,P123,B19,ev,reserved
S227,P136,B20,ev,available
S228,P122,C01,ev,reserved
S229,P121,C02,ev,occupied
S230,P101,C03,ev,reserved
S231,P128,C06,ev,available
S232,P136,C07,ev,reserved
S233,P121,C08,ev,reserved
S234,P139,C09,ev,available
S235,P128,C10,ev,reserved
S236,P110,C12,ev,occupied
S237,P113,C13,ev,available
S238,P133,C14,ev,occupied
S239,P111,C16,ev,occupied
S240,P110,A01,ev,occupied
S241,P118,A02,ev,available
S242,P139,A03,ev,occupied
S243,P105,A05,ev,reserved
S244,P109,A06,ev,available
S245,P132,A08,ev,available
S246,P116,A09,ev,available
S247,P112,A11,ev,available
S248,P111,A13,ev,reserved
S249,P121,A14,ev,reserved
S250,P120,A17,ev,occupied
S251,P106,A18,ev,occupied
S252,P109,A19,ev,occupied
S253,P126,A20,ev,occupied
S254,P106,B02,ev,available
S255,P115,B03,ev,reserved
S256,P102,B04,ev,reserved
S257,P120,B06,ev,available
S258,P122,B07,ev,reserved
S259,P113,B08,ev,reserved
S260,P134,B09,ev,occupied
S261,P111,B10,ev,occupied
S262,P133,B11,ev,available
S263,P122,B12,ev,reserved
S264,P116,B13,ev,available
S265,P106,B14,ev,available
S266,P122,B15,ev,reserved
S267,P106,B16,ev,occupied
S268,P111,B17,ev,reserved
S269,P104,B18,ev,reserved
S270,P110,B19,ev,reserved
S271,P139,B20,ev,occupied
S272,P136,C01,ev,occupied
S273,P130,C03,ev,reserved
S274,P118,C04,ev,reserved
S275,P121,C06,ev,reserved
S276,P134,C07,ev,reserved
S277,P128,C08,ev,reserved
S278,P121,C09,ev,available
S279,P105,C10,ev,available
S280,P134,C11,ev,occupied
S281,P121,C13,ev,available
S282,P126,C16,ev,available
S283,P114,C17,ev,available
S284,P111,C18,ev,occupied
S285,P118,C19,ev,occupied
S286,P140,C20,ev,reserved
S287,P121,D01,ev,available
S288,P108,D02,ev,available
S289,P116,D03,ev,available
S290,P118,D04,ev,reserved
S291,P109,D05,ev,available
S292,P135,A01,bike,reserved
S293,P120,A02,bike,available
S294,P114,A03,bike,occupied
S295,P106,A04,bike,reserved
S296,P113,A05,bike,occupied
S297,P113,A06,bike,occupied
S298,P118,A07,bike,reserved
S299,P132,A08,bike,occupied
S300,P102,A09,bike,reserved
S301,P104,A11,bike,occupied
S302,P134,A13,bike,reserved
S303,P126,A14,bike,reserved
S304,P118,A15,bike,reserved
S305,P118,A16,bike,occupied
S306,P107,A17,bike,occupied
S307,P104,A18,bike,reserved
S308,P116,A20,bike,available
S309,P133,B02,bike,occupied
S310,P139,B03,bike,available
S311,P110,B06,bike,occupied
S312,P132,B07,bike,reserved
S313,P101,B08,bike,reserved
S314,P108,B10,bike,reserved
S315,P140,B11,bike,occupied
S316,P134,B12,bike,reserved
S317,P106,B13,bike,reserved
S318,P132,B15,bike,available
S319,P115,B16,bike,occupied
S320,P117,B17,bike,occupied
S321,P118,B18,bike,reserved
S322,P104,B19,bike,occupied
S323,P117,B20,bike,reserved
S324,P140,C01,bike,occupied
S325,P104,C02,bike,occupied
S326,P120,C03,bike,reserved
S327,P117,C04,bike,available
S328,P111,C05,bike,available
S329,P118,C07,bike,reserved
S330,P135,A01,bike,available
S331,P125,A02,bike,occupied
S332,P128,A03,bike,available
S333,P122,A04,bike,available
S334,P118,A06,bike,occupied
S335,P113,A07,bike,reserved
S336,P106,A08,bike,reserved
S337,P115,A10,bike,available
S338,P116,A11,bike,available
S339,P122,A13,bike,available
S340,P126,A14,bike,reserved
S341,P101,A17,bike,available
S342,P121,A19,bike,reserved
S343,P107,A20,bike,occupied
S344,P130,B01,bike,occupied
S345,P140,B02,bike,available
S346,P113,B03,bike,available
S347,P107,B04,bike,reserved
S348,P130,B05,bike,available
S349,P126,B06,bike,occupied
S350,P112,B08,bike,reserved
S351,P132,B09,bike,reserved
S352,P125,B10,bike,available
S353,P116,B11,bike,occupied
S354,P120,B12,bike,available
S355,P122,B13,bike,reserved
S356,P105,B14,bike,reserved
S357,P125,B15,bike,occupied
S358,P123,B16,bike,occupied
S359,P136,B17,bike,reserved
S360,P133,B18,bike,reserved
S361,P125,B19,bike,occupied
S362,P121,B20,bike,occupied
S363,P107,C02,bike,occupied
S364,P132,C03,bike,occupied
S365,P126,C04,bike,reserved
S366,P112,C05,bike,available
S367,P101,C06,bike,occupied
S368,P120,C07,bike,reserved
S369,P123,C08,bike,occupied
S370,P110,C09,bike,occupied
S371,P136,C10,bike,available
S372,P140,C11,bike,available
S373,P102,C13,bike,occupied
S374,P136,C14,bike,occupied
S375,P101,C15,bike,reserved
S376,P115,A01,bike,available
S377,P105,A02,car,occupied
S378,P113,A03,ev,reserved
S379,P112,A04,car,available
S380,P117,A05,ev,available
S381,P121,A06,ev,available
S382,P102,A07,ev,available
S383,P135,A08,bike,reserved
S384,P123,A09,car,available
S385,P108,A10,bike,occupied
S386,P133,A12,car,reserved
S387,P134,A14,car,reserved
S388,P122,A15,ev,available
S389,P134,A17,bike,reserved
S390,P113,A18,bike,reserved
S391,P101,A20,bike,available
S392,P102,B01,ev,occupied
S393,P133,B03,ev,reserved
S394,P110,B04,ev,reserved
S395,P132,B05,ev,available
S396,P115,B06,car,occupied
S397,P110,B08,bike,occupied
S398,P101,B09,ev,available
S399,P140,B10,bike,occupied
S400,P104,B11,car,occupied
S401,P126,B12,car,occupied
S402,P120,B13,car,available
S403,P105,B15,ev,available
S404,P128,B16,bike,reserved
S405,P123,B17,car,available
S406,P105,B18,bike,available
S407,P114,B19,car,reserved
S408,P108,B20,bike,available
S409,P105,C02,car,reserved
S410,P122,C03,car,occupied
S411,P107,C04,bike,available
S412,P123,C05,ev,available
S413,P132,C06,car,available
S414,P139,C07,car,available
S415,P107,C08,ev,available
S416,P116,C11,car,reserved
S417,P140,A01,car,available
S418,P120,A02,car,reserved
S419,P122,A03,bike,occupied
S420,P108,A04,bike,available
S421,P117,A05,bike,reserved
S422,P104,A06,car,reserved
S423,P112,A09,car,occupied
S424,P136,A11,car,reserved
S425,P121,A12,bike,occupied
S426,P139,A13,bike,reserved
S427,P123,A14,bike,available
S428,P110,A15,bike,available
S429,P105,A17,ev,available
S430,P112,A18,ev,occupied
S431,P121,A19,ev,reserved
S432,P104,A20,ev,reserved
S433,P116,B01,ev,occupied
S434,P111,B02,bike,occupied
S435,P109,B03,car,available
S436,P120,B05,bike,available
S437,P136,B07,car,reserved
S438,P130,B08,ev,occupied
S439,P118,B09,ev,occupied
S440,P115,B10,ev,available
S441,P135,B12,ev,reserved
S442,P109,B13,bike,occupied
S443,P130,B14,car,reserved
S444,P109,B15,car,reserved
S445,P128,B16,ev,available
S446,P125,B17,bike,available
S447,P110,A02,ev,reserved
S448,P102,A03,ev,reserved
S449,P120,A04,ev,occupied
S450,P135,A06,ev,occupied
S451,P116,A07,ev,occupied
S452,P118,A09,ev,reserved
S453,P140,A10,ev,available
S454,P113,A11,ev,available
S455,P115,A12,ev,reserved
S456,P120,A13,ev,available
S457,P108,A14,ev,reserved
S458,P121,A15,ev,occupied
S459,P110,A16,ev,occupied
S460,P120,A17,ev,reserved
S461,P111,A01,car,reserved
S462,P118,A02,car,available
S463,P120,A03,car,available
S464,P101,A06,car,reserved
S465,P135,A07,car,available
S466,P126,A08,car,reserved
S467,P107,A09,car,available
S468,P128,A10,car,occupied
S469,P130,A11,car,reserved
S470,P130,A12,car,reserved
S471,P135,A13,car,available
